id,title,vote_count,popularity
19913,(500) Days of Summer,10784,9.4678
745,The Sixth Sense,12512,11.0987
84892,The Perks of Being a Wallflower,10988,12.4929
1417,Pan's Labyrinth,11209,9.8064
577922,Tenet,10764,9.9128
246655,X-Men: Apocalypse,13543,10.0655
1359,American Psycho,11910,9.9642
56292,Mission: Impossible - Ghost Protocol,10546,9.9592
137113,Edge of Tomorrow,14719,9.5524
339403,Baby Driver,16518,10.5259
500,Reservoir Dogs,15090,8.9491
49530,In Time,11925,8.9537
337339,The Fate of the Furious,10661,8.5029
294254,Maze Runner: The Scorch Trials,10838,8.5011
1593,Night at the Museum,10736,10.1446
580489,Venom: Let There Be Carnage,10968,9.3784
752,V for Vendetta,15253,9.5054
6479,I Am Legend,16506,9.5232
190859,American Sniper,13427,9.2658
1891,The Empire Strikes Back,17998,8.5442
72190,World War Z,16180,10.7927
287947,Shazam!,10024,9.008
374720,Dunkirk,17244,8.6141
600,Full Metal Jacket,11183,8.8973
259316,Fantastic Beasts and Where to Find Them,19445,10.7549
424694,Bohemian Rhapsody,17496,13.6851
264660,Ex Machina,13958,7.6818
1271,300,14427,9.2245
637,Life Is Beautiful,13740,9.1615
102899,Ant-Man,20560,8.6712
1402,The Pursuit of Happyness,10365,9.0941
157350,Divergent,13270,9.2995
9479,The Nightmare Before Christmas,10137,9.3754
245891,John Wick,20386,8.9526
381288,Split,18073,9.0956
293167,Kong: Skull Island,10940,8.6241
61791,Rise of the Planet of the Apes,12499,8.1196
787,Mr. & Mrs. Smith,10989,8.1574
1949,Zodiac,11271,8.9366
89,Indiana Jones and the Last Crusade,10813,8.9673
393,Kill Bill: Vol. 2,14734,9.6202
64682,The Great Gatsby,12756,8.6325
381284,Hidden Figures,10229,9.0762
64688,21 Jump Street,10781,8.3326
363088,Ant-Man and the Wasp,13941,7.2879
605,The Matrix Revolutions,10530,8.8682
23483,Kick-Ass,12161,8.1147
4922,The Curious Case of Benjamin Button,13453,9.4947
45243,The Hangover Part II,11051,8.8732
131634,The Hunger Games: Mockingjay - Part 2,13117,8.2542
51876,Limitless,11215,8.4027
297802,Aquaman,14687,7.947
310,Bruce Almighty,11258,9.2666
2048,"I, Robot",12403,8.0377
115,The Big Lebowski,11889,9.9947
1893,Star Wars: Episode I - The Phantom Menace,15498,7.8574
93456,Despicable Me 2,11799,8.4287
1771,Captain America: The First Avenger,22395,7.8903
510,One Flew Over the Cuckoo's Nest,11156,8.169
118340,Guardians of the Galaxy,29233,8.3248
399566,Godzilla vs. Kong,10448,7.6269
1892,Return of the Jedi,16595,7.7886
602,Independence Day,10150,8.7751
399055,The Shape of Water,12634,8.4645
141,Donnie Darko,13122,8.7302
353486,Jumanji: Welcome to the Jungle,14233,7.9824
44214,Black Swan,15258,7.6632
49047,Gravity,16045,7.4783
64690,Drive,13302,7.6869
453,A Beautiful Mind,10827,7.4159
185,A Clockwork Orange,13554,7.7667
76203,12 Years a Slave,11767,7.8758
10528,Sherlock Holmes,14532,7.7904
329,Jurassic Park,17441,8.313
165,Back to the Future Part II,13619,8.5678
75612,Oblivion,11251,7.4166
194662,Birdman or (The Unexpected Virtue of Ignorance),13355,7.2232
14,American Beauty,12749,7.7744
608,Men in Black II,10425,8.4659
8960,Hancock,10037,7.301
73,American History X,12262,8.2484
262500,Insurgent,10299,8.0039
70160,The Hunger Games,22939,8.0004
283366,Miss Peregrine's Home for Peculiar Children,10347,7.2329
196,Back to the Future Part III,11259,6.556
1894,Star Wars: Episode II - Attack of the Clones,14043,7.7986
41154,Men in Black 3,10780,7.7905
19908,Zombieland,12893,6.5842
100402,Captain America: The Winter Soldier,19664,6.48
330459,Rogue One: A Star Wars Story,16093,6.5367
332562,A Star Is Born,12068,5.2438
13475,Star Trek,10284,6.5786
87827,Life of Pi,13553,7.0241
343668,Kingsman: The Golden Circle,10920,6.5839
558,Spider-Man 2,16000,6.2563
127380,Finding Dory,12497,6.7804
515001,Jojo Rabbit,10162,7.3426
392044,Murder on the Orient Express,10364,6.7503
405774,Bird Box,10387,6.4585
70,Million Dollar Baby,10134,6.461
627,Trainspotting,10172,6.5525
17654,District 9,10080,5.9521
297761,Suicide Squad,21824,6.2167
12405,Slumdog Millionaire,11076,6.4609
274870,Passengers,13961,6.0044
13223,Gran Torino,11297,5.3321
58574,Sherlock Holmes: A Game of Shadows,10755,5.0649
82693,Silver Linings Playbook,12448,5.7853
222935,The Fault in Our Stars,11444,4.5615
338952,Fantastic Beasts: The Crimes of Grindelwald,11309,5.4947
59967,Looper,10648,7.1567
211672,Minions,10950,4.4253
266856,The Theory of Everything,10949,3.579
641,Requiem for a Dream,10689,3.833
359940,"Three Billboards Outside Ebbing, Missouri",10650,4.4398
274,The Silence of the Lambs,17488,3.6623
1858,Transformers,11950,3.3256
8844,Jumanji,11064,3.2169
277834,Moana,13492,2.9272
76170,The Wolverine,10088,1.6391
2080,X-Men Origins: Wolverine,11031,1.2597
82992,Fast & Furious 6,11001,1.0665
9799,The Fast and the Furious,10601,1.1476
771,Home Alone,12223,1.0248
36657,X-Men,11946,0.5086
36668,X-Men: The Last Stand,10173,0.4542
49538,X-Men: First Class,13323,0.4724
36658,X2,10683,0.4435
